#name ra dec
NGC147 3312.120 3031.46
NGC185 3857.970 2014.56
AndromedaV 1017.1 3741
AndromedaVII 2631.7 4033
IC10 2023.16 1734.7
UGCA86 5949.4 0838
DradSph 2014.335 5516.39
UMiGalaxy 0911.34 1251.7
LEDA2801026 1347.504 2208.25
UGC4879 1602.0197873600	5042.052874443
UGC8508 3044.8713405615	5438.531712530
UMaIGalaxy 3452.80 5512.0
UGC9240 2443.0755108543 3131.754423687
Willman1 4921.0	0300
LEDA2807061 0029.3 1230
CMaDwarfGalaxy 0712.6  2740
ESO294-10 2633.4 5122
FornaxDwarfSpheroidal 3959.3 2657
NGC55 1453.602	1147.86
NGC300 5453.4460065856	4103.182962667
SculptorDwarfGalaxy 0009.4 423
ESO407-18 2627.52 2319.5
ESO410-5 1531.45 1047.3
WLMGalaxy 0157.9 2750
CetusDwarfGalaxy 2610.8	0314
IC1613 0454.2 0800
PegDwarfIrregularGalaxy 2835.2 4435
PegdSph 5146.4 3511
PiscesI 0356.6 5341
M33 3350.904 3935.79
AndromedaII 1629.8 2509
LEDA2807157 4535.177 4305.09
AndromedaIII 3522.7 3017
AndromedaI 4539.8 0228
NGC404 0927.1 4305
M32 4241.825 5154.61
M32 4241.825 5154.61
M110 4022.0544552438 4107.496294862
M31Group 4728.6 1723
AndromedaIX 5253.0 1145
LeoDwarfIrregularGalaxy 5926.46 4447.0
SextansB 0000.8201300945 2009.572530884
NGC3109 0306.877 0934.46
AntliaDwarfGalaxy 0403.9 2001
LeoIdSph 0828.12 1823.4
DwarfEllipticalGalaxyinSex 1302.9 3653
SexA 1100.5 4130
LeoB 1328.13 0910.1
UGC6817 5052.984 5250.92
NGC4163	1209.108 1003.13
UGCA276 1457.9 1307
UGC7577 2741.8803124881 2958.140216428
UGC8091 5840.1930291852 1300.737117016
CVnIdSph 2803.5 3321
LEDA2807150 5433.356 1439.66
LEDA166185 0710.1 0337
UGC9128 1556.70 0316.2
SDG 5503.1 2842
SgrdIG 2959.0 4041
AquariusDwarf 4651.7 5054
NGC6822 4456.199 4751.29
CarinadSph 4136.7 5758
PhoenixDwarfGalaxy 5106.3 2641
LMC 2334.6 4522
SMC 5238.0 4801
IC3104 1846.1 4333
TucGalax 4149.6 2510
IC5152 0241.521 1747.20
IC4662 4709.192 3819.25
AndromedaX 0633.70 4815.8
BootesDwarfSpheroidalGalaxy 1400 3000
UMaIIGalaxy 5130.0 0748
AndromedaXI 4620.0 4805
CVnIIdSph 5709.6 1912
AndromedaXIII 5151.0 0016
AndromedaXII  4727.0 2229
LeoIVDwarfGalaxy 3257.0 3200
ComaDwarfGalaxy 2659.0 5415
Segue1 	0703.2 0425
HerDwarfGalaxy 3102.0 4730
LeoTdSph 3453.4 0305
BootesII 5800.0 5100
AndromedaXIV 5135.0 4149
AndromedaXV 1418.7 0703
PiscesV 5929.8 2236
AndromedaXVII 3707.0 1920
LeoV 3109.60 1312
AndromedaXVIII 0214.5 0520
AndXIX 1932.10 0237.1
AndromedaXX 0730.70 0756.4
BootesIII 5707.4 4630
AndromedaXXI 5447.7 2815
AndromedaXXII 2740.0 0525
Segue2 1916.0 1031
AndromedaXXIII 2921.8 4308
AndromedaXXIV 1830.0 2158
AndromedaXXV 3008.9 5107
AndromedaXXVI 2345.6 5458
AndromedaXXVII 3727.1 2313
